68179,Oil & Gas,-1,1
68180,Basic Materials,-1,1000
68181,Industrials,-1,2000
68182,Consumer Goods,-1,3000
68183,Health Care,-1,4000
68184,Consumer Services,-1,5000
68185,Telecommunications,-1,6000
68186,Utilities,-1,7000
68187,Financials,-1,8000
68188,Technology,-1,9000
68189,Oil & Gas,68179,500
68190,Chemicals,68180,1300
68191,Basic Resources,68180,1700
68192,Construction & Materials,68181,2300
68193,Industrial Goods & Services,68181,2700
68194,Automobiles & Parts,68182,3300
68195,Food & Beverage,68182,3500
68196,Personal & Household Goods,68182,3700
68197,Health Care,68183,4500
68198,Retail,68184,5300
68199,Media,68184,5500
68200,Travel & Leisure,68184,5700
68201,Telecommunications,68185,6500
68202,Utilities,68186,7500
68203,Banks,68187,8300
68204,Insurance,68187,8500
68205,Real Estate,68187,8600
68206,Financial Services,68187,8700
68207,Technology,68188,9500
82872,Energy,-1,10
82873,Materials,-1,15
82874,Industrials,-1,20
82875,Consumer Discretionary,-1,25
82876,Consumer Staples,-1,30
82877,Health Care,-1,35
82878,Financials,-1,40
82879,Information Technology,-1,45
82880,Telecommunication Services,-1,50
82881,Utilities,-1,55
82882,Energy,82872,1010
82883,Materials,82873,1510
82884,Capital Goods,82874,2010
82885,Commercial  & Professional Services,82874,2020
82886,Transportation,82874,2030
82887,Automobiles & Components,82875,2510
82888,Consumer Durables & Apparel,82875,2520
82889,Consumer Services,82875,2530
82890,Media,82875,2540
82891,Retailing,82875,2550
82892,Food & Staples Retailing,82876,3010
82893,"Food, Beverage & Tobacco",82876,3020
82894,Household & Personal Products,82876,3030
82895,Health Care Equipment & Services,82877,3510
82896,"Pharmaceuticals, Biotechnology & Life Sc",82877,3520
82897,Banks,82878,4010
82898,Diversified Financials,82878,4020
82899,Insurance,82878,4030
82900,Real Estate,82878,4040
82901,Software & Services,82879,4510
82902,Technology Hardware & Equipment,82879,4520
82903,Telecommunication Services,82880,5010
82904,Utilities,82881,5510
82905,Semiconductors & Semiconductor Equipment,82879,4530
82906,Diversified Consumer Services,82889,253020
82907,Thrifts & Mortgage Finance,82897,401020
82908,Consumer Finance,82898,402020
82909,Capital Markets,82898,402030
82910,Independent Power Producers & Energy Traders,82904,551050
82911,Health Care Technology,82895,351030
82912,Life Sciences Tools & Services,82896,352030
82913,Real Estate Investment Trusts (REITs),82900,404020
82914,Real Estate Management & Development,82900,404030
82915,Professional Services,82885,202020
82916,Energy Equipment & Services,82882,101010
82917,"Oil, Gas & Consumable Fuels",82882,101020
82918,Chemicals,82883,151010
82919,Construction Materials,82883,151020
82920,Containers & Packaging,82883,151030
82921,Metals & Mining,82883,151040
82922,Paper & Forest Products,82883,151050
82923,Aerospace & Defense,82884,201010
82924,Building Products,82884,201020
82925,Construction & Engineering,82884,201030
82926,Electrical Equipment,82884,201040
82927,Industrial Conglomerates,82884,201050
82928,Machinery,82884,201060
82929,Trading Companies & Distributors,82884,201070
82930,Commercial Services & Supplies,82885,202010
82931,Air Freight & Logistics,82886,203010
82932,Airlines,82886,203020
82933,Marine,82886,203030
82934,Road & Rail,82886,203040
82935,Transportation Infrastructure,82886,203050
82936,Auto Components,82887,251010
82937,Automobiles,82887,251020
82938,Household Durables,82888,252010
82939,Leisure Equipment & Products,82888,252020
82940,"Textiles, Apparel & Luxury Goods",82888,252030
82941,"Hotels, Restaurants & Leisure",82889,253010
82942,Media,82890,254010
82943,Distributors,82891,255010
82944,Internet & Catalog Retail,82891,255020
82945,Multiline Retail,82891,255030
82946,Specialty Retail,82891,255040
82947,Food & Staples Retailing,82892,301010
82948,Beverages,82893,302010
82949,Food Products,82893,302020
82950,Tobacco,82893,302030
82951,Household Products,82894,303010
82952,Personal Products,82894,303020
82953,Health Care Equipment & Supplies,82895,351010
82954,Health Care Providers & Services,82895,351020
82955,Biotechnology,82896,352010
82956,Pharmaceuticals,82896,352020
82957,Commercial Banks,82897,401010
82958,Diversified Financial Services,82898,402010
82959,Insurance,82899,403010
82960,Real Estate,82900,404010
82961,Internet Software & Services,82901,451010
82962,IT Services,82901,451020
82963,Software,82901,451030
82964,Communications Equipment,82902,452010
82965,Computers & Peripherals,82902,452020
82966,"Electronic Equipment, Instruments & Components",82902,452030
82967,Office Electronics,82902,452040
82968,Semiconductors & Semiconductor Equipment,82905,453010
82969,Diversified Telecommunication Services,82903,501010
82970,Wireless Telecommunication Services,82903,501020
82971,Electric Utilities,82904,551010
82972,Gas Utilities,82904,551020
82973,Multi-Utilities,82904,551030
82974,Water Utilities,82904,551040
82975,Oil & Gas Drilling,82916,10101010
82976,Oil & Gas Equipment & Services,82916,10101020
82977,Integrated Oil & Gas,82917,10102010
82978,Oil & Gas Exploration & Production,82917,10102020
82979,Oil & Gas Refining & Marketing,82917,10102030
82980,Commodity Chemicals,82918,15101010
82981,Diversified Chemicals,82918,15101020
82982,Fertilizers & Agricultural Chemicals,82918,15101030
82983,Industrial Gases,82918,15101040
82984,Specialty Chemicals,82918,15101050
82985,Construction Materials,82919,15102010
82986,Metal & Glass Containers,82920,15103010
